y_lat,x_lon,portfolio_manager_id,property_name,street_address,postal_code,num_of_buildings,year_built,primary_prop_type_epa_calc,total_floor_area_bld_pk_ft2,electric_use_kbtu,natural_gas_use_kbtu,fuel_oil_02_use_kbtu,steam_use_kbtu,energy_star_score,site_eui_kbtuft2,weather_norm_site_eui_kbtuft2,weather_norm_source_eui_kbtuf,total_ghg_emissions_mtco2e,water_use_all_kgal,water_score,estar_certified,compliance_type,benchmarking_status,data_year,crime_count_5mi,crime_score_5mi_weighted
39.95988844,-75.1673459,6291862,One Franklin Town,1 Franklin Town Boulevard,,1,1988,Multifamily Housing,,16765655.7,4080100.1,,0.0,67.0,39.9,44.1,109.7,1688.1,13576.2,52.0,No,Required Compliance,Complied,2024,306,116.9
39.95600154,-75.16479765,6169415,Friends Center,1501 Cherry Street,,1,1974,Office,,3626717.5,,,,60.0,42.7,42.7,119.6,288.9,606.2,,No,Required Compliance,Complied,2024,437,163.5
39.95442055,-75.1500172,1452163,American College of Physicians Headquarters,190 N. Independence Mall West,,1,1998,Office,,10440625.6,6089259.8,,,,61.2,63.9,134.1,1155.0,2422.7,,01/04/2022,Required Compliance,Complied,2024,266,97.8
39.96410136,-75.14145876,5830455,841 N American Street,841 N American Street,,1,1949,Office,,1284667.8,,,,97.0,18.9,18.9,52.9,102.3,134.4,,08/01/2025,Required Compliance,Complied,2024,167,61.0
39.88891086,-75.1796681,5018892,"Urban Outfitters, Inc. - Building #18",1620 Kitty Hawk Ave,19112,1,1916,Office,,8459511.6,7243840.4,,,21.0,147.2,155.3,301.8,1058.6,2100.9,,No,Required Compliance,Complied,2024,0,0.0
39.95650661,-75.14808261,5093636,Boekel,509 Vine St,,1,1952,Multifamily Housing,,2253060.8,382952.9,,,8.0,46.3,49.0,123.8,218.1,1031.8,53.0,No,Required Compliance,Complied,2024,236,84.4
40.06289182,-75.19599934,5050141,New Covenant Manor - MICHAELS,7500 Germantown Avenue,,1,2005,Multifamily Housing,,8942056.8,3515.0,,,1.0,123.7,123.7,346.3,785.0,2235.9,30.0,No,Required Compliance,Complied,2024,31,10.4
40.07667686,-75.03605386,63608692,Excelsior Midrise Condominiums,2131 Welsh Rd,19115,1,1983,Multifamily Housing,"1,388",1295690.0,,,,95.0,23.6,24.5,68.6,103.2,1860.0,51.0,No,Voluntary Compliance,Voluntarily Complied,2024,47,18.7
40.05080874,-75.05242068,4923937,Valmont Towers Condo Assn.,7600 Roosevelt Blvd.,19152,1,1974,Multifamily Housing,712,4461163.9,1689998.1,,,12.0,72.0,74.2,173.3,445.1,8832.4,4.0,No,Required Compliance,Complied,2024,102,37.4
40.04605494,-75.1913165,18968756,Malvern Hall Condominium Association,6655 McCallum St.,19119,1,1925,Multifamily Housing,785,2335582.9,1193709.3,,,11.0,63.2,63.0,139.0,268.4,1893.0,65.0,No,Required Compliance,Complied,2024,51,20.0
39.97157296,-75.18363673,5027285,Brewery Condominiums- Main House,825 N 29th St,19130,1,1875,Multifamily Housing,568,1228965.0,,,,99.0,20.1,20.1,56.4,107.9,1095.1,79.0,08/21/2018,Required Compliance,Complied,2024,124,54.800000000000004
39.94248596,-75.14436058,5853435,(PA2497) - 410 South Hill Condominium (410 South Front Street ),410 South Front Street,19147,1,2015,Multifamily Housing,6148,3199374.4,1440811.6,,,32.0,54.3,56.5,124.8,357.3,1719.5,83.0,No,Required Compliance,Complied,2024,71,28.4
39.97241385,-75.18268344,5036239,Brewery Condominiums- Brewery House,870 N 28th St.,19130,1,1900,Multifamily Housing,823,639753.4,959104.8,,,88.0,31.4,33.1,56.9,107.1,958.3,33.0,No,Required Compliance,Complied,2024,127,56.1
39.95458812,-75.16699617,4072331,The Phoenix Building,1600 Arch Street,19103,1,1925,Multifamily Housing,776,14467413.4,20675.9,,8286891.9,,41.5,42.7,93.2,1703.7,24897.7,1.0,No,Required Compliance,Complied,2024,422,154.2
39.96193756,-75.16119186,26621261,(PA2680) - 511 Condominium (511 North Broad Street),511 North Broad Street,19123,1,1960,Multifamily Housing,734,2473652.3,509819.4,,,26.0,59.7,61.9,153.9,244.2,1400.7,83.0,No,Required Compliance,Complied,2024,258,103.5
39.96677593,-75.17784793,4295181,The Philadelphian,2401 Pennsylvania Ave,19130,1,1964,Multifamily Housing,1414,24758148.4,30754659.6,,,86.0,46.5,48.5,87.4,3605.5,34302.3,62.0,07/26/2024,Required Compliance,Complied,2024,126,51.5
39.9537242,-75.15462059,4895821,(PA2422) - The Pearl (111 N 9th Street),111 N 9th Street,19107,1,2007,Multifamily Housing,"36,867",3380957.7,,,,98.0,21.1,22.6,63.1,297.2,3588.6,50.0,No,Voluntary Compliance,Voluntarily Complied,2024,323,123.6
39.93771358,-75.16187398,5052959,Lofts at Bella Vista,1101 Washington Avenue,19147,1,1935,Multifamily Housing,1380,4681635.5,1448649.6,,,76.0,40.9,42.1,98.8,449.8,3785.9,73.0,No,Required Compliance,Complied,2024,242,88.8
39.95069107,-75.17102733,4961098,10 Rittenhouse Square,130 S 18th St.,19103,2,2009,Multifamily Housing,2560,15148075.3,3217583.9,,9919592.2,21.0,64.2,65.6,132.6,2159.0,12593.0,55.0,No,Required Compliance,Complied,2024,463,166.5
39.94780518,-75.16367962,4901211,(PA2345) - Arts Condominium (1324 Locust Street),1324 Locust Street,19107,1,1922,Multifamily Housing,9015,6579073.6,15535589.5,,,45.0,95.3,102.5,156.8,1402.6,14982.1,43.0,No,Required Compliance,Complied,2024,528,188.9
39.9560418,-75.14579577,4998818,York Square Condominium Association,319 Vine Street,19106,1,2005,Multifamily Housing,1898,2311288.8,1163997.0,,,92.0,33.7,35.6,76.7,245.9,1748.9,90.0,08/29/2018,Required Compliance,Complied,2024,186,65.8
